prospect_id,prospect_candidate_code,prospect_candidate_status,prospect_application_date
10034,37979,Prospect,22-08-2022
10034,29811,Prospect,16-08-2022
10034,38360,Prospect,16-08-2022
10034,38362,Prospect,16-08-2022
10034,38471,Prospect,19-08-2022
10034,38357,Prospect,16-08-2022
10035,38339,Prospect,15-08-2022
10036,38410,Prospect,18-08-2022
10037,38338,Prospect,15-08-2022
10039,38370,Encaminhado ao Requisitante,16-08-2022
1004,16215,Encaminhado ao Requisitante,04-07-2019
1004,16213,Encaminhado ao Requisitante,04-07-2019
1004,14966,Contratado como Hunting,11-07-2019
10040,32128,Prospect,16-08-2022
10040,33084,Prospect,16-08-2022
10040,36717,Prospect,22-08-2022
10040,37256,Prospect,30-08-2022
10040,38345,Prospect,16-08-2022
10040,38420,Sem interesse nesta vaga,18-08-2022
10040,38422,Sem interesse nesta vaga,18-08-2022
10040,38521,Prospect,22-08-2022
10040,38520,Sem interesse nesta vaga,22-08-2022
10040,38519,Sem interesse nesta vaga,22-08-2022
10040,38421,Sem interesse nesta vaga,18-08-2022
10040,38650,Prospect,30-08-2022
10040,38423,Não Aprovado pelo RH,18-08-2022
10040,38516,Sem interesse nesta vaga,22-08-2022
10040,38518,Prospect,22-08-2022
10041,38417,Prospect,18-08-2022
10041,38415,Encaminhado ao Requisitante,18-08-2022
10041,38422,Encaminhado ao Requisitante,18-08-2022
10041,38419,Prospect,18-08-2022
10042,29874,Prospect,16-08-2022
10042,33587,Prospect,29-08-2022
10042,38363,Prospect,16-08-2022
10042,38368,Prospect,16-08-2022
10042,38381,Prospect,16-08-2022
10042,38382,Prospect,16-08-2022
10042,38384,Prospect,16-08-2022
10042,38385,Prospect,16-08-2022
10042,38395,Desistiu,17-08-2022
10042,38401,Prospect,17-08-2022
10042,38426,Prospect,18-08-2022
10042,38434,Prospect,18-08-2022
10042,38435,Prospect,18-08-2022
10042,38438,Prospect,18-08-2022
10042,38517,Sem interesse nesta vaga,22-08-2022
10042,38883,Prospect,31-08-2022
10042,38383,Prospect,16-08-2022
10042,38398,Prospect,17-08-2022
10042,38391,Prospect,17-08-2022
10043,20922,Prospect,18-08-2022
10043,21413,Prospect,18-08-2022
10043,21117,Prospect,18-08-2022
10043,16765,Desistiu,18-08-2022
10043,16551,Prospect,18-08-2022
10043,15224,Prospect,18-08-2022
10043,12074,Prospect,18-08-2022
10043,12032,Encaminhado ao Requisitante,17-08-2022
10043,15,Prospect,17-08-2022
10043,22782,Prospect,17-08-2022
10043,29440,Prospect,18-08-2022
10044,38404,Prospect,17-08-2022
10044,38403,Prospect,17-08-2022
10044,38402,Prospect,17-08-2022
10045,38204,Prospect,17-08-2022
10045,38405,Prospect,17-08-2022
10045,38393,Prospect,17-08-2022
10045,38390,Prospect,17-08-2022
10045,38020,Prospect,17-08-2022
10045,37174,Prospect,17-08-2022
10045,37055,Prospect,17-08-2022
10045,35837,Prospect,17-08-2022
10045,35763,Prospect,17-08-2022
10045,35204,Prospect,17-08-2022
10045,1057,Prospect,17-08-2022
10045,16850,Prospect,17-08-2022
10045,17119,Prospect,17-08-2022
10045,17126,Prospect,17-08-2022
10045,448,Prospect,17-08-2022
10045,29844,Prospect,17-08-2022
10045,33452,Prospect,17-08-2022
10045,22462,Encaminhado ao Requisitante,17-08-2022
10046,38430,Prospect,18-08-2022
10046,38429,Prospect,18-08-2022
10046,33664,Não Aprovado pelo Cliente,17-08-2022
10046,29097,Prospect,22-08-2022
10046,27949,Encaminhado ao Requisitante,18-08-2022
10046,27333,Prospect,22-08-2022
10046,27268,Prospect,18-08-2022
10046,14144,Prospect,18-08-2022
10046,10709,Prospect,22-08-2022
10046,7850,Prospect,18-08-2022
10046,38572,Encaminhado ao Requisitante,23-08-2022
10046,38443,Prospect,18-08-2022
10047,38932,Encaminhado ao Requisitante,01-09-2022
10047,38604,Encaminhado ao Requisitante,23-08-2022
10047,38580,Contratado pela Decision,23-08-2022
10048,38440,Encaminhado ao Requisitante,18-08-2022
10049,38879,Prospect,31-08-2022
10049,39016,Prospect,05-09-2022
10049,38885,Prospect,31-08-2022
10049,39078,Prospect,06-09-2022
10049,39081,Encaminhado ao Requisitante,09-09-2022
10049,39101,Prospect,08-09-2022
10049,39516,Encaminhado ao Requisitante,20-09-2022
10049,39295,Encaminhado ao Requisitante,13-09-2022
10049,39012,Prospect,05-09-2022
10049,39902,Prospect,06-10-2022
10049,40154,Prospect,20-10-2022
10049,40186,Prospect,24-10-2022
10049,39282,Encaminhado ao Requisitante,13-09-2022
10049,39010,Prospect,05-09-2022
10049,39003,Prospect,05-09-2022
10049,38992,Prospect,05-09-2022
10049,38936,Prospect,01-09-2022
10049,38949,Prospect,02-09-2022
10049,38988,Contratado pela Decision,05-09-2022
10049,38893,Prospect,31-08-2022
10049,38998,Encaminhado ao Requisitante,05-09-2022
10049,38996,Entrevista com Cliente,05-09-2022
10049,39002,Prospect,05-09-2022
10049,39000,Prospect,05-09-2022
10049,38892,Prospect,31-08-2022
1005,16230,Encaminhado ao Requisitante,05-07-2019
1005,17038,Encaminhado ao Requisitante,05-09-2019
1005,16213,Encaminhado ao Requisitante,04-07-2019
1005,15009,Encaminhado ao Requisitante,04-07-2019
1005,14953,Prospect,03-09-2019
1005,16974,Prospect,03-09-2019
1005,16981,Encaminhado ao Requisitante,03-09-2019
1005,16989,Encaminhado ao Requisitante,04-09-2019
10050,38493,Encaminhado ao Requisitante,19-08-2022
10051,38575,Prospect,23-08-2022
10051,38576,Sem interesse nesta vaga,23-08-2022
10051,23917,Não Aprovado pelo RH,29-08-2022
10051,27370,Sem interesse nesta vaga,23-08-2022
10051,39380,Prospect,14-09-2022
10051,39377,Encaminhado ao Requisitante,14-09-2022
10051,39375,Não Aprovado pelo RH,14-09-2022
10051,39374,Prospect,14-09-2022
10051,38571,Não Aprovado pelo RH,23-08-2022
10051,38720,Sem interesse nesta vaga,26-08-2022
10051,38718,Prospect,26-08-2022
10051,38717,Prospect,26-08-2022
10051,38703,Sem interesse nesta vaga,26-08-2022
10051,38577,Prospect,23-08-2022
10051,38722,Sem interesse nesta vaga,26-08-2022
10052,18534,Desistiu,22-08-2022
10052,28921,Prospect,25-08-2022
10052,38531,Não Aprovado pelo RH,22-08-2022
10052,38534,Prospect,22-08-2022
10052,38557,Prospect,22-08-2022
10053,25094,Encaminhado ao Requisitante,10-10-2022
10053,28921,Prospect,25-08-2022
10053,38719,Prospect,26-08-2022
10053,37381,Prospect,19-08-2022
10053,37233,Prospect,22-08-2022
10054,38535,Prospect,22-08-2022
10054,38591,Prospect,23-08-2022
10054,37640,Prospect,22-08-2022
10054,38593,Prospect,23-08-2022
10063,38592,Prospect,23-08-2022
10063,28921,Prospect,25-08-2022
10063,38595,Sem interesse nesta vaga,23-08-2022
10063,38596,Prospect,23-08-2022
10063,38594,Sem interesse nesta vaga,23-08-2022
10064,38808,Prospect,30-08-2022
10064,38816,Prospect,30-08-2022
10064,38815,Prospect,30-08-2022
10064,38809,Prospect,30-08-2022
10064,19321,Prospect,30-08-2022
10065,39487,Prospect,20-09-2022
10065,38820,Prospect,30-08-2022
10065,38509,Prospect,19-08-2022
10065,34092,Prospect,30-08-2022
10066,38524,Encaminhado ao Requisitante,22-08-2022
10066,27268,Prospect,19-08-2022
10066,38510,Prospect,19-08-2022
10067,38233,Contratado pela Decision,19-08-2022
10068,38917,Desistiu,01-09-2022
10068,38734,Prospect,26-08-2022
10068,38548,Prospect,22-08-2022
10068,36477,Encaminhado ao Requisitante,23-08-2022
10068,36189,Prospect,24-08-2022
10068,35721,Prospect,23-08-2022
10068,29434,Encaminhado ao Requisitante,23-08-2022
10068,24034,Prospect,23-08-2022
10068,24313,Prospect,22-08-2022
10068,20819,Encaminhado ao Requisitante,24-08-2022
10070,38864,Encaminhado ao Requisitante,31-08-2022
10070,38866,Encaminhado ao Requisitante,31-08-2022
10071,34343,Encaminhado ao Requisitante,24-08-2022
10071,38637,Encaminhado ao Requisitante,24-08-2022
10071,33664,Desistiu,19-08-2022
10072,9211,Entrevista Técnica,29-08-2022
10072,9208,Contratado pela Decision,19-09-2022
10073,37935,Encaminhado ao Requisitante,23-08-2022
10073,30217,Prospect,19-08-2022
10073,28637,Prospect,19-08-2022
10073,11299,Prospect,23-08-2022
10073,11042,Encaminhado ao Requisitante,23-08-2022
10074,19656,Prospect,30-08-2022
10074,25280,Prospect,25-08-2022
10074,37870,Prospect,25-08-2022
10074,39658,Prospect,26-09-2022
10074,38549,Prospect,22-08-2022
10074,38551,Sem interesse nesta vaga,22-08-2022
10075,39805,Encaminhado ao Requisitante,04-10-2022
10075,20464,Prospect,23-08-2022
10075,20263,Prospect,23-08-2022
10075,19068,Prospect,22-08-2022
10075,18576,Prospect,23-08-2022
10076,40252,Inscrito,26-10-2022
10076,39721,Prospect,29-09-2022
10076,38960,Inscrito,04-09-2022
10076,448,Prospect,20-09-2022
10076,19260,Prospect,23-08-2022
10077,39578,Contratado pela Decision,22-09-2022
10077,38609,Encaminhado ao Requisitante,23-08-2022
10077,12535,Encaminhado ao Requisitante,23-08-2022
10078,15894,Contratado pela Decision,22-08-2022
1008,16220,Contratado pela Decision,04-07-2019
10080,36305,Prospect,24-08-2022
10080,38328,Não Aprovado pelo Cliente,23-08-2022
10080,38329,Encaminhado ao Requisitante,23-08-2022
10080,38603,Prospect,23-08-2022
10080,38605,Encaminhado ao Requisitante,23-08-2022
10080,38611,Entrevista com Cliente,23-08-2022
10080,38623,Prospect,24-08-2022
10080,38598,Prospect,23-08-2022
10081,14843,Prospect,25-08-2022
10081,13735,Não Aprovado pelo Cliente,23-08-2022
10081,14718,Prospect,25-08-2022
10081,14719,Prospect,25-08-2022
10081,15561,Prospect,25-08-2022
10081,38690,Prospect,25-08-2022
10081,19465,Prospect,25-08-2022
10081,22782,Prospect,25-08-2022
10081,23731,Prospect,25-08-2022
10081,29440,Não Aprovado pelo Cliente,23-08-2022
10081,38805,Prospect,30-08-2022
10081,19029,Prospect,25-08-2022
10081,12830,Prospect,25-08-2022
10081,12457,Prospect,25-08-2022
10081,12384,Prospect,25-08-2022
10081,12074,Prospect,25-08-2022
10081,9871,Prospect,25-08-2022
10081,12647,Prospect,25-08-2022
10082,39195,Não Aprovado pelo Cliente,13-09-2022
10082,38801,Entrevista com Cliente,30-08-2022
10082,37955,Encaminhado ao Requisitante,30-08-2022
10082,37007,Não Aprovado pelo Cliente,13-09-2022
10082,30217,Encaminhado ao Requisitante,30-08-2022
10082,22877,Prospect,15-09-2022
10083,1175,Prospect,25-08-2022
10083,13295,Prospect,24-08-2022
10083,22833,Prospect,24-08-2022
10083,38390,Prospect,25-08-2022
10083,37081,Prospect,24-08-2022
10083,38589,Prospect,23-08-2022
10083,38638,Desistiu,24-08-2022
10083,40062,Prospect,17-10-2022
10083,40152,Prospect,20-10-2022
10083,38587,Prospect,23-08-2022
10084,33012,Prospect,29-08-2022
10084,30960,Prospect,29-08-2022
10084,31163,Prospect,29-08-2022
10084,31785,Prospect,29-08-2022
10084,32034,Prospect,29-08-2022
10084,32291,Prospect,29-08-2022
10084,32311,Prospect,29-08-2022
10084,32479,Prospect,29-08-2022
10084,32584,Prospect,29-08-2022
10084,33008,Prospect,29-08-2022
10084,33217,Prospect,29-08-2022
10084,35368,Prospect,29-08-2022
10084,34162,Prospect,29-08-2022
10084,33530,Prospect,29-08-2022
10084,38627,Não Aprovado pelo Cliente,24-08-2022
10084,37762,Prospect,01-09-2022
10084,37282,Prospect,25-08-2022
10084,37007,Prospect,01-09-2022
10084,34250,Prospect,29-08-2022
10084,35450,Prospect,29-08-2022
10084,35405,Prospect,25-08-2022
10084,35377,Prospect,25-08-2022
10084,34755,Prospect,25-08-2022
10084,34447,Prospect,31-08-2022
10084,36144,Desistiu,25-08-2022
10085,19821,Prospect,26-08-2022
10085,19402,Prospect,25-08-2022
10085,17010,Encaminhado ao Requisitante,27-10-2022
10085,25893,Prospect,26-08-2022
10086,38681,Prospect,25-08-2022
10086,38677,Prospect,25-08-2022
10087,38699,Encaminhado ao Requisitante,25-08-2022
10087,38635,Encaminhado ao Requisitante,24-08-2022
10087,38629,Não Aprovado pelo Cliente,24-08-2022
10087,21020,Prospect,05-09-2022
10087,27113,Prospect,30-08-2022
10088,2087,Encaminhado ao Requisitante,25-08-2022
10088,13093,Prospect,24-08-2022
10088,14144,Prospect,24-08-2022
1009,12801,Não Aprovado pelo Cliente,05-07-2019
1009,12679,Encaminhado ao Requisitante,13-08-2019
1009,6989,Não Aprovado pelo Cliente,04-07-2019
1009,11130,Encaminhado ao Requisitante,08-08-2019
1009,14719,Não Aprovado pelo Requisitante,04-07-2019
10090,28348,Entrevista Técnica,31-08-2022
10090,30060,Prospect,01-09-2022
10090,34466,Prospect,06-09-2022
10090,34479,Prospect,29-08-2022
10090,35704,Encaminhado ao Requisitante,06-09-2022
10090,36220,Prospect,06-09-2022
10090,37454,Encaminhado ao Requisitante,08-09-2022
10090,37815,Prospect,29-08-2022
10090,38792,Prospect,29-08-2022
10090,25664,Contratado pela Decision,31-08-2022
10090,38986,Prospect,05-09-2022
10090,39071,Prospect,06-09-2022
10090,39081,Encaminhado ao Requisitante,08-09-2022
10090,39123,Prospect,08-09-2022
10090,38790,Prospect,29-08-2022
10090,38794,Prospect,29-08-2022
10090,36476,Prospect,08-09-2022
10090,22055,Prospect,29-08-2022
10090,23238,Prospect,06-09-2022
10090,16203,Prospect,29-08-2022
10090,19410,Encaminhado ao Requisitante,09-09-2022
10090,23251,Prospect,08-09-2022
10090,21303,Prospect,12-09-2022
10090,21813,Prospect,29-08-2022
10090,20611,Prospect,06-09-2022
10091,2412,Prospect,06-09-2022
10091,17146,Documentação Cooperado,12-09-2022
10091,18222,Prospect,26-08-2022
10091,23838,Não Aprovado pelo Cliente,09-09-2022
10091,24400,Prospect,26-08-2022
10091,27604,Prospect,29-08-2022
10091,31646,Contratado pela Decision,12-09-2022
10091,35375,Prospect,29-08-2022
10091,39176,Prospect,09-09-2022
10091,39233,Prospect,12-09-2022
10091,39234,Prospect,12-09-2022
10091,39683,Prospect,27-09-2022
10091,39684,Sem interesse nesta vaga,27-09-2022
10091,27905,Prospect,29-08-2022
10091,36899,Prospect,29-08-2022
10091,34425,Prospect,06-09-2022
10092,38660,Prospect,25-08-2022
10092,38661,Prospect,25-08-2022
10092,38648,Prospect,25-08-2022
10092,38647,Prospect,25-08-2022
10092,38630,Não Aprovado pelo RH,24-08-2022
10092,30467,Prospect,31-08-2022
10092,30071,Prospect,26-08-2022
10092,38781,Prospect,29-08-2022
10092,38657,Prospect,25-08-2022
10093,38935,Prospect,01-09-2022
10093,38933,Prospect,01-09-2022
10093,38914,Prospect,01-09-2022
10093,38668,Prospect,25-08-2022
10093,38667,Prospect,25-08-2022
10093,38654,Prospect,25-08-2022
10093,38653,Prospect,25-08-2022
10093,38651,Prospect,25-08-2022
10093,38643,Sem interesse nesta vaga,25-08-2022
10093,38642,Prospect,25-08-2022
10093,38641,Prospect,24-08-2022
10093,38640,Prospect,24-08-2022
10093,38633,Prospect,24-08-2022
10093,38646,Prospect,25-08-2022
10093,38645,Prospect,25-08-2022
10094,38665,Encaminhado ao Requisitante,25-08-2022
10094,10811,Encaminhado ao Requisitante,25-08-2022
10096,38728,Contratado pela Decision,26-08-2022
10096,38659,Não Aprovado pelo RH,25-08-2022
10096,38655,Prospect,25-08-2022
10096,1155,Prospect,25-08-2022
10097,38770,Prospect,29-08-2022
10097,33587,Prospect,29-08-2022
10098,38766,Contratado pela Decision,29-08-2022
10098,39814,Contratado pela Decision,03-10-2022
10098,38890,Encaminhado ao Requisitante,31-08-2022
10098,38898,Contratado pela Decision,01-09-2022
10098,38700,Encaminhado ao Requisitante,26-08-2022
10098,38652,Contratado pela Decision,25-08-2022
10098,38658,Encaminhado ao Requisitante,25-08-2022
10098,38670,Encaminhado ao Requisitante,25-08-2022
10098,39813,Contratado pela Decision,03-10-2022
10098,38662,Encaminhado ao Requisitante,25-08-2022
10098,38663,Contratado pela Decision,25-08-2022
10098,38749,Encaminhado ao Requisitante,26-08-2022
10098,38751,Contratado pela Decision,26-08-2022
10098,38750,Contratado pela Decision,26-08-2022
10098,38755,Contratado pela Decision,26-08-2022
10098,38758,Encaminhado ao Requisitante,26-08-2022
10098,38863,Contratado pela Decision,31-08-2022
10098,38862,Encaminhado ao Requisitante,31-08-2022
10098,38753,Encaminhado ao Requisitante,26-08-2022
10098,38702,Encaminhado ao Requisitante,26-08-2022
10099,13431,Prospect,30-08-2022
10099,22820,Encaminhado ao Requisitante,31-08-2022
10099,19348,Encaminhado ao Requisitante,30-08-2022
101,12871,Encaminhado ao Requisitante,09-01-2019
101,2419,Encaminhado ao Requisitante,09-01-2019
1010,5776,Encaminhado ao Requisitante,05-07-2019
1010,16237,Encaminhado ao Requisitante,05-07-2019
10100,7809,Contratado pela Decision,25-08-2022
10101,38813,Sem interesse nesta vaga,30-08-2022
10101,38812,Prospect,30-08-2022
10101,38811,Prospect,30-08-2022
10101,36923,Prospect,29-08-2022
10101,24107,Prospect,25-08-2022
10101,9208,Entrevista com Cliente,30-08-2022
10101,5719,Prospect,29-08-2022
10101,4700,Encaminhado ao Requisitante,30-08-2022
10101,38829,Prospect,30-08-2022
10101,9211,Prospect,25-08-2022
10102,38803,Prospect,30-08-2022
10102,9211,Encaminhado ao Requisitante,29-08-2022
10102,17123,Prospect,29-08-2022
10102,19013,Prospect,30-08-2022
10102,21819,Prospect,08-09-2022
10102,22933,Prospect,30-08-2022
10102,36469,Prospect,26-08-2022
10102,38841,Prospect,30-08-2022
10102,37627,Encaminhado ao Requisitante,29-08-2022
10102,38795,Prospect,29-08-2022
10102,38797,Prospect,29-08-2022
10102,38806,Sem interesse nesta vaga,30-08-2022
10102,36742,Prospect,26-08-2022
10103,38802,Encaminhado ao Requisitante,30-08-2022
10103,37162,Encaminhado ao Requisitante,26-08-2022
10103,35321,Encaminhado ao Requisitante,17-10-2022
10103,38707,Entrevista Técnica,26-08-2022
10105,38761,Prospect,26-08-2022
10105,13646,Prospect,25-08-2022
10105,24130,Prospect,25-08-2022
10105,38783,Não Aprovado pelo Cliente,29-08-2022
10105,36641,Entrevista Técnica,08-09-2022
10105,38666,Encaminhado ao Requisitante,25-08-2022
10105,24131,Prospect,25-08-2022
10105,38737,Prospect,26-08-2022
10105,38739,Prospect,26-08-2022
10105,38740,Prospect,26-08-2022
10105,38743,Prospect,26-08-2022
10105,38696,Prospect,25-08-2022
10105,24231,Prospect,25-08-2022
10106,38769,Prospect,29-08-2022
10106,38715,Encaminhado ao Requisitante,26-08-2022
10106,38704,Prospect,26-08-2022
10106,38701,Prospect,26-08-2022
10107,18061,Prospect,26-08-2022
10107,17349,Prospect,26-08-2022
10107,17914,Prospect,26-08-2022
10107,18652,Prospect,26-08-2022
10107,22212,Prospect,26-08-2022
10107,19818,Prospect,26-08-2022
10107,19717,Prospect,26-08-2022
10107,38732,Prospect,26-08-2022
10107,25021,Prospect,26-08-2022
10108,38889,Encaminhado ao Requisitante,31-08-2022
10109,23037,Prospect,13-10-2022
10109,36923,Encaminhado ao Requisitante,02-09-2022
10109,37233,Encaminhado ao Requisitante,02-09-2022
10109,25893,Encaminhado ao Requisitante,13-10-2022
10109,39998,Prospect,13-10-2022
10109,39999,Encaminhado ao Requisitante,13-10-2022
10109,40004,Prospect,13-10-2022
10109,40007,Prospect,13-10-2022
10109,37521,Encaminhado ao Requisitante,02-09-2022
